event_id,popularity_tier,city_tier,venue_capacity_tier,face_value,price,price_ratio,days_until_event,is_weekend,competing_listings,listing_age_hours,sold,sale_price
0,3,3,2,1850.0,1480.0,0.8,76,1,2,167,1,1350.0
0,3,3,2,1850.0,2130.0,1.1514,78,1,3,290,0,
0,3,3,2,1850.0,1500.0,0.8108,9,1,1,551,0,
0,3,3,2,1850.0,1610.0,0.8703,52,1,0,72,1,1410.0
0,3,3,2,1850.0,1700.0,0.9189,13,1,1,498,1,1630.0
0,3,3,2,1850.0,1110.0,0.6,71,1,3,93,1,1050.0
0,3,3,2,1850.0,1690.0,0.9135,44,1,3,179,1,1600.0
0,3,3,2,1850.0,1750.0,0.9459,54,1,8,237,0,
0,3,3,2,1850.0,1870.0,1.0108,65,1,5,491,1,1790.0
0,3,3,2,1850.0,1680.0,0.9081,12,1,5,415,0,
0,3,3,2,1850.0,1420.0,0.7676,49,1,0,544,1,1350.0
0,3,3,2,1850.0,1620.0,0.8757,110,1,3,580,0,
0,3,3,2,1850.0,1700.0,0.9189,67,1,1,103,1,1580.0
0,3,3,2,1850.0,1420.0,0.7676,62,1,1,696,1,1420.0
0,3,3,2,1850.0,2150.0,1.1622,86,1,5,87,0,
1,2,2,3,1820.0,1740.0,0.956,105,0,2,244,1,1740.0
1,2,2,3,1820.0,1500.0,0.8242,26,0,2,255,1,1500.0
1,2,2,3,1820.0,1340.0,0.7363,20,0,1,392,1,1320.0
1,2,2,3,1820.0,2080.0,1.1429,76,0,1,487,1,2010.0
1,2,2,3,1820.0,1530.0,0.8407,43,0,8,452,0,
1,2,2,3,1820.0,1950.0,1.0714,98,0,2,605,1,1950.0
1,2,2,3,1820.0,1670.0,0.9176,38,0,0,311,1,1560.0
1,2,2,3,1820.0,1480.0,0.8132,57,0,1,72,1,1470.0
1,2,2,3,1820.0,1300.0,0.7143,8,0,2,35,1,1230.0
1,2,2,3,1820.0,2060.0,1.1319,105,0,1,317,0,
1,2,2,3,1820.0,1580.0,0.8681,83,0,3,286,0,
1,2,2,3,1820.0,1900.0,1.044,19,0,2,614,0,
1,2,2,3,1820.0,1220.0,0.6703,102,0,2,260,1,1220.0
1,2,2,3,1820.0,1240.0,0.6813,11,0,2,317,1,1170.0
1,2,2,3,1820.0,2300.0,1.2637,94,0,2,38,0,
2,3,1,2,2640.0,2430.0,0.9205,23,1,2,359,1,2430.0
2,3,1,2,2640.0,3610.0,1.3674,59,1,2,591,1,3330.0
2,3,1,2,2640.0,2060.0,0.7803,53,1,0,235,1,1880.0
2,3,1,2,2640.0,2310.0,0.875,69,1,1,74,1,2190.0
2,3,1,2,2640.0,2600.0,0.9848,55,1,3,673,0,
2,3,1,2,2640.0,3840.0,1.4545,106,1,2,678,0,
2,3,1,2,2640.0,1790.0,0.678,93,1,2,368,1,1720.0
2,3,1,2,2640.0,2660.0,1.0076,85,1,0,243,1,2660.0
2,3,1,2,2640.0,2630.0,0.9962,36,1,8,606,1,2630.0
2,3,1,2,2640.0,1950.0,0.7386,6,1,1,670,1,1820.0
2,3,1,2,2640.0,1310.0,0.4962,109,1,3,48,1,1270.0
2,3,1,2,2640.0,3240.0,1.2273,62,1,1,114,1,3010.0
2,3,1,2,2640.0,1750.0,0.6629,61,1,2,544,1,1690.0
2,3,1,2,2640.0,2960.0,1.1212,3,1,1,609,1,2960.0
2,3,1,2,2640.0,3630.0,1.375,69,1,1,339,1,3610.0
3,4,1,3,4890.0,4610.0,0.9427,83,1,3,445,1,4580.0
3,4,1,3,4890.0,3860.0,0.7894,13,1,2,94,1,3700.0
3,4,1,3,4890.0,5160.0,1.0552,87,1,1,167,1,4920.0
3,4,1,3,4890.0,4530.0,0.9264,46,1,0,629,1,4360.0
3,4,1,3,4890.0,3490.0,0.7137,26,1,1,305,1,3360.0
3,4,1,3,4890.0,5170.0,1.0573,103,1,8,508,0,
3,4,1,3,4890.0,5060.0,1.0348,62,1,2,327,1,4920.0
3,4,1,3,4890.0,5970.0,1.2209,66,1,0,496,1,5960.0
3,4,1,3,4890.0,3540.0,0.7239,100,1,0,427,1,3470.0
3,4,1,3,4890.0,2920.0,0.5971,90,1,0,666,1,2900.0
3,4,1,3,4890.0,3650.0,0.7464,61,1,0,83,1,3490.0
3,4,1,3,4890.0,4560.0,0.9325,104,1,1,442,1,4560.0
3,4,1,3,4890.0,3790.0,0.7751,71,1,1,417,1,3690.0
3,4,1,3,4890.0,5580.0,1.1411,42,1,5,693,1,5170.0
3,4,1,3,4890.0,4420.0,0.9039,82,1,2,209,1,4420.0
4,3,3,2,1540.0,1680.0,1.0909,42,1,1,203,0,
4,3,3,2,1540.0,1470.0,0.9545,25,1,1,425,1,1470.0
4,3,3,2,1540.0,1250.0,0.8117,109,1,3,386,1,1150.0
4,3,3,2,1540.0,1060.0,0.6883,37,1,1,254,1,1060.0
4,3,3,2,1540.0,1580.0,1.026,32,1,2,166,0,
4,3,3,2,1540.0,1820.0,1.1818,65,1,1,674,0,
4,3,3,2,1540.0,1480.0,0.961,39,1,0,80,1,1480.0
4,3,3,2,1540.0,830.0,0.539,79,1,0,530,1,770.0
4,3,3,2,1540.0,1660.0,1.0779,23,1,2,244,1,1660.0
4,3,3,2,1540.0,920.0,0.5974,5,1,0,116,1,920.0
4,3,3,2,1540.0,2390.0,1.5519,67,1,0,61,0,
4,3,3,2,1540.0,1940.0,1.2597,9,1,3,709,1,1830.0
4,3,3,2,1540.0,890.0,0.5779,88,1,3,244,1,830.0
4,3,3,2,1540.0,3110.0,2.0195,46,1,0,701,0,
4,3,3,2,1540.0,1140.0,0.7403,21,1,3,231,1,1120.0
5,4,1,3,5140.0,5810.0,1.1304,41,0,0,351,1,5660.0
5,4,1,3,5140.0,5380.0,1.0467,9,0,0,458,1,5300.0
5,4,1,3,5140.0,3950.0,0.7685,79,0,3,391,1,3750.0
5,4,1,3,5140.0,4520.0,0.8794,70,0,1,145,1,4520.0
5,4,1,3,5140.0,6140.0,1.1946,44,0,0,264,1,5950.0
5,4,1,3,5140.0,6600.0,1.284,71,0,2,479,1,6420.0
5,4,1,3,5140.0,5410.0,1.0525,44,0,0,263,1,5150.0
5,4,1,3,5140.0,3870.0,0.7529,89,0,8,660,1,3870.0
5,4,1,3,5140.0,7230.0,1.4066,32,0,0,490,0,
5,4,1,3,5140.0,3900.0,0.7588,33,0,3,636,0,
5,4,1,3,5140.0,5910.0,1.1498,103,0,0,50,0,
5,4,1,3,5140.0,4820.0,0.9377,106,0,3,690,1,4570.0
5,4,1,3,5140.0,2640.0,0.5136,90,0,2,38,1,2610.0
5,4,1,3,5140.0,3580.0,0.6965,104,0,1,24,1,3460.0
5,4,1,3,5140.0,3850.0,0.749,108,0,0,414,1,3850.0
6,2,1,2,2350.0,2750.0,1.1702,7,1,3,467,0,
6,2,1,2,2350.0,2710.0,1.1532,104,1,3,619,1,2530.0
6,2,1,2,2350.0,1550.0,0.6596,58,1,0,309,1,1480.0
6,2,1,2,2350.0,2350.0,1.0,34,1,2,36,0,
6,2,1,2,2350.0,1930.0,0.8213,70,1,0,552,1,1920.0
6,2,1,2,2350.0,3220.0,1.3702,76,1,1,368,1,3180.0
6,2,1,2,2350.0,2830.0,1.2043,18,1,2,597,0,
6,2,1,2,2350.0,4200.0,1.7872,33,1,2,708,0,
6,2,1,2,2350.0,3440.0,1.4638,21,1,1,518,0,
6,2,1,2,2350.0,2680.0,1.1404,96,1,0,170,0,
6,2,1,2,2350.0,2810.0,1.1957,7,1,2,67,0,
6,2,1,2,2350.0,2060.0,0.8766,89,1,2,30,1,2040.0
6,2,1,2,2350.0,2190.0,0.9319,52,1,2,634,1,2190.0
6,2,1,2,2350.0,1840.0,0.783,88,1,2,13,1,1760.0
6,2,1,2,2350.0,1200.0,0.5106,37,1,2,308,1,1150.0
7,4,2,3,5600.0,5430.0,0.9696,86,1,5,312,0,
7,4,2,3,5600.0,5390.0,0.9625,49,1,2,346,1,5020.0
7,4,2,3,5600.0,5740.0,1.025,94,1,0,99,0,
7,4,2,3,5600.0,6480.0,1.1571,107,1,8,194,1,6090.0
7,4,2,3,5600.0,5800.0,1.0357,62,1,0,501,1,5640.0
7,4,2,3,5600.0,4860.0,0.8679,30,1,3,550,1,4570.0
7,4,2,3,5600.0,2590.0,0.4625,109,1,2,427,1,2590.0
7,4,2,3,5600.0,8970.0,1.6018,15,1,5,461,1,7720.0
7,4,2,3,5600.0,2830.0,0.5054,80,1,1,486,1,2770.0
7,4,2,3,5600.0,8300.0,1.4821,94,1,2,140,1,8150.0
7,4,2,3,5600.0,3730.0,0.6661,21,1,1,715,1,3630.0
7,4,2,3,5600.0,7040.0,1.2571,24,1,2,675,1,7040.0
7,4,2,3,5600.0,6550.0,1.1696,3,1,5,483,0,
7,4,2,3,5600.0,5050.0,0.9018,101,1,3,374,1,4970.0
7,4,2,3,5600.0,4140.0,0.7393,106,1,3,266,0,
8,4,3,3,5040.0,4000.0,0.7937,65,1,0,462,1,3900.0
8,4,3,3,5040.0,4900.0,0.9722,52,1,2,211,1,4800.0
8,4,3,3,5040.0,5970.0,1.1845,41,1,5,439,1,5940.0
8,4,3,3,5040.0,5630.0,1.1171,20,1,1,9,0,
8,4,3,3,5040.0,6440.0,1.2778,91,1,0,566,1,6440.0
8,4,3,3,5040.0,5480.0,1.0873,62,1,3,453,1,5380.0
8,4,3,3,5040.0,4150.0,0.8234,41,1,5,540,0,
8,4,3,3,5040.0,5440.0,1.0794,17,1,8,177,1,5150.0
8,4,3,3,5040.0,4770.0,0.9464,61,1,1,484,1,4490.0
8,4,3,3,5040.0,9160.0,1.8175,14,1,0,606,1,8280.0
8,4,3,3,5040.0,6540.0,1.2976,32,1,1,170,1,6190.0
8,4,3,3,5040.0,5540.0,1.0992,5,1,0,178,1,5280.0
8,4,3,3,5040.0,2540.0,0.504,16,1,2,185,1,2540.0
8,4,3,3,5040.0,3290.0,0.6528,79,1,5,55,0,
8,4,3,3,5040.0,4050.0,0.8036,35,1,3,576,1,4050.0
9,3,1,3,4630.0,5200.0,1.1231,99,0,5,552,0,
9,3,1,3,4630.0,3550.0,0.7667,4,0,1,114,1,3550.0
9,3,1,3,4630.0,4150.0,0.8963,99,0,1,623,1,3680.0
9,3,1,3,4630.0,4320.0,0.933,31,0,1,213,1,4130.0
9,3,1,3,4630.0,4270.0,0.9222,75,0,3,717,1,3880.0
9,3,1,3,4630.0,5290.0,1.1425,35,0,0,652,1,4910.0
9,3,1,3,4630.0,5130.0,1.108,41,0,0,362,1,4860.0
9,3,1,3,4630.0,1980.0,0.4276,31,0,3,174,0,
9,3,1,3,4630.0,6830.0,1.4752,56,0,2,33,1,6420.0
9,3,1,3,4630.0,6070.0,1.311,106,0,2,583,0,
9,3,1,3,4630.0,3490.0,0.7538,47,0,0,316,1,3440.0
9,3,1,3,4630.0,3160.0,0.6825,58,0,5,118,1,3000.0
9,3,1,3,4630.0,4400.0,0.9503,29,0,1,695,1,4270.0
9,3,1,3,4630.0,4030.0,0.8704,96,0,2,31,1,4030.0
9,3,1,3,4630.0,4700.0,1.0151,3,0,8,548,0,
10,1,2,1,790.0,680.0,0.8608,24,0,1,120,1,680.0
10,1,2,1,790.0,810.0,1.0253,26,0,0,610,0,
10,1,2,1,790.0,710.0,0.8987,61,0,1,667,1,700.0
10,1,2,1,790.0,510.0,0.6456,40,0,0,669,0,
10,1,2,1,790.0,720.0,0.9114,2,0,1,404,0,
10,1,2,1,790.0,810.0,1.0253,63,0,0,325,1,780.0
10,1,2,1,790.0,690.0,0.8734,88,0,1,206,0,
10,1,2,1,790.0,640.0,0.8101,79,0,8,664,0,
10,1,2,1,790.0,530.0,0.6709,81,0,0,218,0,
10,1,2,1,790.0,410.0,0.519,48,0,1,646,1,410.0
10,1,2,1,790.0,700.0,0.8861,101,0,8,84,0,
10,1,2,1,790.0,570.0,0.7215,98,0,0,75,0,
10,1,2,1,790.0,760.0,0.962,45,0,1,205,0,
10,1,2,1,790.0,730.0,0.9241,33,0,3,280,0,
10,1,2,1,790.0,780.0,0.9873,1,0,3,35,0,
11,5,1,2,11970.0,9740.0,0.8137,1,0,1,202,1,9740.0
11,5,1,2,11970.0,16800.0,1.4035,88,0,0,285,0,
11,5,1,2,11970.0,11440.0,0.9557,27,0,0,167,1,9480.0
11,5,1,2,11970.0,10520.0,0.8789,81,0,0,637,1,10020.0
11,5,1,2,11970.0,8050.0,0.6725,45,0,1,526,1,7330.0
11,5,1,2,11970.0,14530.0,1.2139,22,0,1,164,1,13030.0
11,5,1,2,11970.0,9830.0,0.8212,105,0,5,100,1,9570.0
11,5,1,2,11970.0,12970.0,1.0835,12,0,1,232,1,11960.0
11,5,1,2,11970.0,7220.0,0.6032,19,0,1,171,1,6750.0
11,5,1,2,11970.0,18040.0,1.5071,55,0,0,541,1,15710.0
11,5,1,2,11970.0,16480.0,1.3768,10,0,1,392,1,15230.0
11,5,1,2,11970.0,10600.0,0.8855,56,0,3,69,1,10050.0
11,5,1,2,11970.0,12740.0,1.0643,27,0,1,537,1,11310.0
11,5,1,2,11970.0,15660.0,1.3083,41,0,2,389,1,15360.0
11,5,1,2,11970.0,12320.0,1.0292,44,0,2,393,1,11960.0
12,3,3,3,3200.0,2690.0,0.8406,95,1,0,450,1,2690.0
12,3,3,3,3200.0,3050.0,0.9531,94,1,1,451,1,2900.0
12,3,3,3,3200.0,3130.0,0.9781,77,1,1,407,0,
12,3,3,3,3200.0,2830.0,0.8844,69,1,0,131,0,
12,3,3,3,3200.0,3950.0,1.2344,106,1,5,325,0,
12,3,3,3,3200.0,3540.0,1.1062,44,1,2,580,1,3510.0
12,3,3,3,3200.0,2590.0,0.8094,79,1,2,498,1,2270.0
12,3,3,3,3200.0,2170.0,0.6781,45,1,1,603,1,2140.0
12,3,3,3,3200.0,3050.0,0.9531,69,1,3,699,1,2870.0
12,3,3,3,3200.0,3480.0,1.0875,20,1,8,571,0,
12,3,3,3,3200.0,5290.0,1.6531,38,1,2,398,0,
12,3,3,3,3200.0,2550.0,0.7969,8,1,2,328,1,2340.0
12,3,3,3,3200.0,5240.0,1.6375,31,1,0,33,1,5240.0
12,3,3,3,3200.0,2990.0,0.9344,86,1,5,211,0,
12,3,3,3,3200.0,3660.0,1.1438,22,1,2,327,0,
13,1,2,1,1190.0,1430.0,1.2017,90,1,5,445,0,
13,1,2,1,1190.0,1530.0,1.2857,79,1,1,296,0,
13,1,2,1,1190.0,1100.0,0.9244,31,1,0,507,0,
13,1,2,1,1190.0,1670.0,1.4034,2,1,1,20,0,
13,1,2,1,1190.0,840.0,0.7059,14,1,3,547,1,840.0
13,1,2,1,1190.0,1790.0,1.5042,26,1,8,711,0,
13,1,2,1,1190.0,1550.0,1.3025,14,1,2,682,0,
13,1,2,1,1190.0,990.0,0.8319,7,1,2,329,0,
13,1,2,1,1190.0,860.0,0.7227,107,1,0,35,1,850.0
13,1,2,1,1190.0,770.0,0.6471,67,1,2,76,0,
13,1,2,1,1190.0,910.0,0.7647,41,1,0,521,1,910.0
13,1,2,1,1190.0,1560.0,1.3109,31,1,0,409,0,
13,1,2,1,1190.0,780.0,0.6555,4,1,1,713,1,780.0
13,1,2,1,1190.0,740.0,0.6218,104,1,8,162,0,
13,1,2,1,1190.0,1010.0,0.8487,84,1,1,505,0,
14,2,1,2,1360.0,1380.0,1.0147,4,1,5,263,0,
14,2,1,2,1360.0,1300.0,0.9559,25,1,3,293,1,1190.0
14,2,1,2,1360.0,1090.0,0.8015,55,1,0,645,0,
14,2,1,2,1360.0,1820.0,1.3382,57,1,2,422,1,1680.0
14,2,1,2,1360.0,1610.0,1.1838,88,1,1,418,0,
14,2,1,2,1360.0,1120.0,0.8235,53,1,0,181,0,
14,2,1,2,1360.0,840.0,0.6176,2,1,5,277,1,820.0
14,2,1,2,1360.0,1510.0,1.1103,39,1,3,562,0,
14,2,1,2,1360.0,1600.0,1.1765,41,1,1,356,1,1600.0
14,2,1,2,1360.0,1450.0,1.0662,29,1,2,315,0,
14,2,1,2,1360.0,1650.0,1.2132,76,1,1,491,0,
14,2,1,2,1360.0,1600.0,1.1765,34,1,5,371,0,
14,2,1,2,1360.0,930.0,0.6838,49,1,1,492,1,930.0
14,2,1,2,1360.0,2470.0,1.8162,108,1,0,438,0,
14,2,1,2,1360.0,900.0,0.6618,71,1,1,319,1,900.0
15,3,2,1,2850.0,2840.0,0.9965,60,1,5,109,0,
15,3,2,1,2850.0,2790.0,0.9789,41,1,5,74,0,
15,3,2,1,2850.0,4650.0,1.6316,93,1,0,489,0,
15,3,2,1,2850.0,3630.0,1.2737,30,1,2,75,1,3140.0
15,3,2,1,2850.0,3120.0,1.0947,39,1,1,19,1,2980.0
15,3,2,1,2850.0,2710.0,0.9509,69,1,5,277,1,2570.0
15,3,2,1,2850.0,2670.0,0.9368,32,1,0,415,1,2570.0
15,3,2,1,2850.0,4880.0,1.7123,44,1,3,674,0,
15,3,2,1,2850.0,1830.0,0.6421,78,1,0,353,1,1830.0
15,3,2,1,2850.0,1420.0,0.4982,2,1,2,292,1,1370.0
15,3,2,1,2850.0,2580.0,0.9053,83,1,8,369,1,2430.0
15,3,2,1,2850.0,3410.0,1.1965,4,1,0,351,1,3250.0
15,3,2,1,2850.0,2260.0,0.793,89,1,5,24,0,
15,3,2,1,2850.0,4130.0,1.4491,88,1,1,56,1,3950.0
